ID_respuesta,Encuesta,ID_respondente,Fecha_inicio,Fecha_fin,Estado,QC_veredicto,Duracion_min,Codigo_postal,Edad,Renta_anual_hogar,Situacion_familiar,LS_cuesta_cambiar_marca,LS_mismo_supermercado,LS_planes_tranquilos,LS_marcas_por_percepcion,LS_restaurante_reputacion,LS_cultura_viajes,LS_sin_estilo,LS_restaurantes_nuevos,LS_se_adapta,LS_origen_impacto,LS_actividades_aporte,LS_experiencia_vs_anillo,Ultima_compra_lenceria,Ultima_compra_bano,Frecuencia_compra_ropa,Ultima_compra_moda,Gasto_lenceria_por_compra,Gasto_bano_por_compra,Marca_mas_cara_ultimo_ano,Gasto_mensual_ropa,Dic_Playa_vs_Montana,Dic_Colores_neutros_vs_vividos,Dic_Con_vs_Sin_estampado,Dic_Con_diseno_vs_Basico,Dic_Duradero_vs_Moda,Banadores_en_armario,Banadores_usados_temporada,Compra_banadores_nuevos_verano,Aprovecha_rebajas_post_verano,Motivos_compra_ropa,Momentos_compra_ropa,Talla_pantalon,Talla_camiseta,Talla_sujetador,Dificultad_encontrar_talla,Motivo_dificultad_talla,Talla_otro_especificar,Factores_valorados_compra,Factores_frenan_compra,Barrera_compra_otra_especificar,Canal_fisico_lenceria,Canal_fisico_bano,Compra_lenceria_bano_online,Canal_online_lenceria,Canal_online_bano,Que_valora_al_comprar,Experiencia_compra_lenceria,Experiencia_compra_bano,Experiencia_digital_lenceria_bano,Top_of_mind_lenceria,Otras_marcas_lenceria,Marcas_donde_compra_lenceria,Marcas_lenceria_otras_especificar,Marca_favorita_lenceria_motivo,Func_lenc_Ajuste_sujecion,Func_lenc_Duracion,Func_lenc_Variedad_tallas,Func_lenc_Comodidad,Func_lenc_Calidad_precio,Func_lenc_Suavidad_tejido,Emoc_lenc_Estetica,Emoc_lenc_Moderna,Emoc_lenc_Refleja_personalidad,Emoc_lenc_Destaca,Emoc_lenc_Identificacion_marca,Emoc_lenc_Diseno,Emoc_lenc_Marca_especialista,Visibilidad_lenceria_canales,Influencer_lenceria_sino,Influencer_lenceria_nombre,Opinion_Pilar_Rubio,Top_of_mind_bano,Otras_marcas_bano,Marcas_donde_compra_bano,Marcas_bano_otras_especificar,Marca_favorita_bano_motivo,Atributos_valorados_bano,Visibilidad_bano_canales,Influencer_bano_sino,Influencer_bano_nombre,Colores_favoritos_lenceria,Combinaciones_colores_lenceria,Producto_lenceria_elegido,Por_que_gusta_mas_lenc,Por_que_otros_gustan_menos_lenc,Colores_favoritos_bano,Combinaciones_colores_bano,Producto_bano_elegido,Por_que_gusta_mas_bano,Por_que_otros_gustan_menos_bano,Triada_producto_mostrada,q26
dbc7e48d-7bb6-472d-b8e7-03e655d7f635,lingerie-swim,6a291665-6515-378e-9441-3fee2cdcc852,2026-06-10T07:46:58.164245+00:00,2026-06-10T07:57:02.661+00:00,complete,OK,10.1,03540,41,55.000 – 75.000 € (medio-alto),"Vivo con pareja, con hijos en el hogar",1,3,3,3,4,4,4,5,5,4,5,5,Este mes,Esta semana,Una vez al mes,Hace dos meses,40,30,Princesa,200 – 500 €,Playa,Colores vividos,Sin estampado,Con diseno,Estar a la moda,cuatro,cuatro,Sí,Sí,Me apetece darme un capricho | Se me ha gastado o roto | La vi y me encantó,"En el día a día, compro sin necesitar una razón concreta | Ver algo en redes o en tienda que me llama la atención | En las rebajas o una promoción concreta",L,L,NINGUNA,"Nunca, siempre encuentro",,,Comodidad y fit perfecto | Relación calidad-precio,Dificultad para encontrar talla | Precio percibido elevado,,Grandes almacenes (El Corte Inglés),Grandes almacenes (El Corte Inglés),"Sí, ocasionalmente","Marketplace (Amazon, Zalando, Asos…)","Marketplace (Amazon, Zalando, Asos…)",Devolución fácil y gratuita | Guía de tallas fiable online | Poder medirme y que me asesoren,Que la devolución sea sencilla,que la devolución sea sencilla,Fotos de alta calidad con diferentes cuerpos | Web fácil de navegar y filtrar por talla | Devolución gratuita garantizada,princesa,intimissimi,Intimissimi | Calvin Klein,,intimissimi,5,4,5,5,5,4,5,5,3,3,5,5,4,1.Valla publicitaria | 2.Publicidad exterior | 3.Televisión | 4.Cartelera | 5.Marquesina | 6.Escaparate de tienda | 7.Revistas de moda | 8.Ecommerce propio de la marca | 9.Email marketing o newsletter | 10.YouTube | 11.TikTok | 12.Instagram | 13.Mupis,no,,"Bien, no cae mal",calzedonia,arena,Calzedonia | Oysho | H&M | Zara,,calzedonia,Calidad del tejido | Comodidad | Durabilidad,1.Escaparate de tienda | 2.Cartelera | 3.Televisión | 4.Valla publicitaria | 5.Marquesina | 6.Publicidad exterior | 7.Revistas de moda | 8.Email marketing o newsletter | 9.Ecommerce propio de la marca | 10.Instagram | 11.TikTok | 12.YouTube | 13.Mupis,no,,#ffd4ff | #ffd5fe | #c1ff75,Combo1:#212121+#AD1457+#AD1457 | Combo2:#4A148C+#CE93D8+#212121 | Combo3:#1565C0+#CE93D8+#006994,lingerie:lt3_s,porque es la más llamativa,porque la otra me ha gustado más,#1c44ff | #ff28e4 | #84ff6d,Combo1:#FFFFFF+#424242+#1A0030 | Combo2:#4A148C+#4CAF50+#E65100 | Combo3:#FFCDD2+#FFF3E0+#FFD700,swim:st2_s,porque es el más cómodo,es mi favorito,swim:triada2 | lingerie:triada3,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""a"", ""d5"": ""b""}"
3f284146-6478-420b-8680-dbb0d82514bb,lingerie-swim,6a2918ef-3f6b-96ce-c453-609dbb23ddd9,2026-06-10T07:57:42.066971+00:00,2026-06-10T08:06:18.091+00:00,complete,REVIEW,8.6,31180,19,Menos de 20.000 €,"Vivo sin pareja, sin hijos",3,4,3,4,4,4,3,4,4,4,3,4,hace 2meses,hace 1 mes,Cada 2 – 3 meses,1 mes,30€,30€,hhjff,Menos de 200 €,Montana,Colores neutros,Con estampado,Basico,Estar a la moda,15,10,Sí,Sí,Me apetece darme un capricho | Mi cuerpo o mi vida ha cambiado y necesito ropa acorde,"En el día a día, compro sin necesitar una razón concreta | Una etapa vital nueva: maternidad, postparto, postcirugía, cambio de peso | En las rebajas o una promoción concreta",S,S,90C,"A veces, depende de la marca",Copa pequeña para mi contorno | Espalda ancha u hombros anchos,,Tallaje amplio | Exclusivo y diferente | Sentirse atractiva,Precio percibido elevado | Proceso de devolución complicado | Probador incómodo,,Grandes almacenes (El Corte Inglés) | Corsetería o mercería tradicional | Marcas de moda generalista,Grandes almacenes (El Corte Inglés) | Corsetería o mercería tradicional | Outlet físico,"Lo he intentado, pero prefiero tienda física",,,Probadores cómodos y privados | Variedad de tallas incluyendo las mías,nose,nose,,calzedonia,tezenis,Women Secret,,tezenis,4,3,4,4,4,4,4,3,4,4,4,4,4,1.TikTok | 2.Instagram | 3.Revistas de moda | 4.Escaparate de tienda | 5.Publicidad exterior | 6.Televisión,no,,no sé quién es,tezenis,calzedonia,Calzedonia,,"shein, barata",Comodidad | Buena relación calidad-precio | Sujeción | Sexy,1.Instagram | 2.TikTok | 3.Revistas de moda | 4.Escaparate de tienda,si,maría pombo,#0030ff | #ff0123 | #f6f7ff,Combo1:#000000+#3E2009+#5D1049 | Combo2:#1A0030+#004D40+#1B3A5C | Combo3:#FFE0B2+#F3E5F5+#E3F2FD,lingerie:lt3_s,bonita,más feas,#1f91ff | #ff4792 | #fff562,Combo1:#5C3A1E+#FFDB58+#FFFFFF | Combo2:#1A0030+#4A148C+#1B3A5C | Combo3:#B0C4DE+#64B5F6+#42A5F5,swim:st3_a,más bonito,no me gustan,swim:triada3 | lingerie:triada3,"{""d1"": ""b"", ""d2"": ""a"", ""d3"": ""a"", ""d4"": ""b"", ""d5"": ""b""}"
59543c0c-95b4-4eac-bad6-2edbc7a84501,lingerie-swim,6a291fb0-4777-ee0a-e57c-cfdb0875d7c7,2026-06-10T08:26:34.863326+00:00,2026-06-10T08:53:08.689+00:00,complete,OK,26.6,08980,57,Menos de 20.000 €,"Vivo sin pareja, sin hijos, en casa de mis padres",1,3,5,1,1,1,3,2,3,1,3,1,2 meses,Año pasado,Cada 6 meses,Hace 3 meses,10 euros,10 euros,No recuerdo,Menos de 200 €,Playa,Colores neutros,Con estampado,Con diseno,Producto duradero,1,1,No,No,Me apetece darme un capricho,"En el día a día, compro sin necesitar una razón concreta",40,L,90,"A veces, depende de la marca",Contorno entre dos tallas,,Comodidad y fit perfecto | Relación calidad-precio,Dificultad para encontrar talla | Precio percibido elevado,,Tienda monomarca de lencería o baño | Corsetería o mercería tradicional,Outlet físico,"No, nunca compro lencería/baño online",,,Probadores cómodos y privados | Precio competitivo,Buen precio.,Buen precio.,,Even,No recuerdo,otras_marcas,Even,Buena relacion calidad precio.,4,4,3,5,5,5,3,2,1,1,1,3,2,1.Escaparate de tienda | 2.Revistas de moda | 3.Publicidad exterior | 4.Valla publicitaria | 5.Marquesina,no,,Es una famosa más.,Decathlon,No recuerdo,Calzedonia,,Decatlhon,Comodidad | Calidad del tejido | Ajuste y fit del bañador | No transparenta al mojarse | Sujeción | Cómoda,1.Escaparate de tienda | 2.Revistas de moda | 3.Publicidad exterior | 4.Valla publicitaria | 5.Marquesina,no,,#edff18 | #ffcb12 | #e117ff,Combo1:#F5ECD7+#E8C4A0+#FFE0B2 | Combo2:#CE93D8+#C8A2C8+#F3E5F5 | Combo3:#FFE0B2+#FFDB58+#FFF3E0,lingerie:lt1_b,Parece el más cómodo.,No son de mi estilo.,#f8ff22 | #ef09ff | #03e5ff,Combo1:#9E9E9E+#BDBDBD+#F5F5F5 | Combo2:#FFD700+#FFDB58+#FFF3E0 | Combo3:#F3E5F5+#E8D5F0+#C8A2C8,swim:st1_a,Es de mi estilo.,No uso bikinis.,swim:triada1 | lingerie:triada1,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""a"", ""d4"": ""a"", ""d5"": ""a""}"
fdb203a7-a821-4c93-890b-5f369d5d6185,lingerie-swim,6a2914d1-3967-73e8-1423-f71d275703f7,2026-06-10T07:40:10.702032+00:00,2026-06-10T07:48:19.073+00:00,complete,OK,8.1,08029,52,35.000 – 55.000 € (medio),"Vivo con pareja, con hijos en el hogar",2,3,2,4,4,4,4,5,4,4,5,5,Hace un mes,La semana pasada,Una vez al mes,Un bañador,50,60,Levis,200 – 500 €,Playa,Colores neutros,Sin estampado,Basico,Estar a la moda,4,4,Sí,No,La vi y me encantó,"En el día a día, compro sin necesitar una razón concreta",42,L,90,"Nunca, siempre encuentro",,,Relación calidad-precio | Exclusivo y diferente | Diseño y estética | Sentirse atractiva,Precio percibido elevado,,Tienda monomarca de lencería o baño | Tienda multimarca especializada en lencería | Grandes almacenes (El Corte Inglés),Grandes almacenes (El Corte Inglés) | Tienda multimarca especializada en lencería,"Sí, ocasionalmente","Marketplace (Amazon, Zalando, Asos…) | App móvil de la marca | Outlet o venta flash online (Privalia, Veepee…)","Marketplace (Amazon, Zalando, Asos…) | Outlet o venta flash online (Privalia, Veepee…) | App móvil de la marca",Probadores cómodos y privados | Devolución fácil y gratuita,Las ofertas,Que sea duradero,Fotos de alta calidad con diferentes cuerpos | Chat o asesoramiento online en tiempo real,Victoria secret,Intimissin,Ysabel Mora | Janira | Triumph | Women Secret | Intimissimi | Calvin Klein,,Intimissin por su calidad precio,4,5,4,5,5,4,4,5,4,5,5,5,4,1.Escaparate de tienda | 2.Revistas de moda,no,,Es una buena modelo,Victoria secret,Adidas,Selmark | Gisela | Dolores Cortés | Chantelle | Banana Moon | Calzedonia | Oysho | H&M | Zara,,Zara,Calidad del tejido | Ajuste y fit del bañador | Durabilidad | Comodidad | Variedad de tallas | Secado rápido | No transparenta al mojarse | Elegante | Cómoda | Clásica,1.Escaparate de tienda | 2.Revistas de moda,no,,#ff7949 | #5aff88 | #d4ff37,Combo1:#FFB3C6+#E91E8C+#1A0030 | Combo2:#64B5F6+#CE93D8+#F3E5F5 | Combo3:#1B5E20+#8BC34A+#388E3C,lingerie:lt2_s,Por la estética,Me gusta más el estilo de la 1,#aeff7a | #56ffb7 | #85ff85,Combo1:#BA68C8+#AB47BC+#6A1B9A | Combo2:#40B0A0+#1B5E20+#2E7D32 | Combo3:#FFA726+#000000+#FFA726,swim:st1_b,Por su tono naranja,Por qué el estilo no me gusta,swim:triada1 | lingerie:triada2,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
e8e017a1-3f87-40a8-a2bc-e3d9e17e0dc3,lingerie-swim,6a291f50-684a-bab4-3433-07c7e2b27151,2026-06-10T08:24:55.530727+00:00,2026-06-10T08:35:52.908+00:00,complete,REVIEW,11.0,46019,34,Menos de 20.000 €,"Vivo con pareja, sin hijos",1,1,5,1,3,3,4,5,5,3,4,5,Hace 1 mes,Este verano ace 3 dia,Una vez al mes,Hace dos semana,100€,5€,Sin marca,Menos de 200 €,Playa,Colores vividos,Con estampado,Con diseno,Producto duradero,2,2,Sí,No,Se me ha gastado o roto,"En el día a día, compro sin necesitar una razón concreta | Un viaje o escapada planificada",M,M,No uso,"A veces, depende de la marca",otro_talla,,Comodidad y fit perfecto,Falta de asesoramiento,,Tienda monomarca de lencería o baño,Tienda monomarca de lencería o baño,"No, nunca compro lencería/baño online",,,Probadores cómodos y privados,Excelente,Precios,,Ninguna marca,Nike,Playtex,,Nike la mejor,3,3,3,5,2,3,5,3,5,5,2,5,1,1.YouTube,no,,Nose kien es,Sin marca,Nike,H&M,,Nike la mejor,Calidad del tejido | Comodidad,1.Instagram | 2.YouTube,no,,#d839ff | #2eeeff | #2e89ff,Combo1:#42A5F5+#1565C0+#42A5F5 | Combo2:#8E24AA+#4CAF50+#BA68C8 | Combo3:#212121+#FFF8F0+#42A5F5,lingerie:lt3_s,Es mona,Me dijo la ke más me guste,#41a4ff | #3a53ff | #512bff,Combo1:#9E9E9E+#616161+#1565C0 | Combo2:#AB47BC+#BA68C8+#CE93D8 | Combo3:#1565C0+#42A5F5+#87CEEB,swim:st2_a,Es mona,Nose,swim:triada2 | lingerie:triada3,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""a"", ""d4"": ""a"", ""d5"": ""a""}"
975683b9-8f98-473b-86e1-0ff07e164d04,lingerie-swim,6a29157c-0b19-f5e1-ee63-277b1c1adbbb,2026-06-10T07:43:01.476214+00:00,2026-06-10T09:38:12.32+00:00,complete,OK,115.2,28038,50,35.000 – 55.000 € (medio),"Vivo con pareja, con hijos en el hogar",2,4,4,3,4,2,2,3,4,4,4,5,"hace meses, no recuerdo",el verano pasado,Cada 2 – 3 meses,hace un mes mas o menos,15,40,jack & jones,Menos de 200 €,Playa,Colores neutros,Sin estampado,Basico,Producto duradero,3,3,Sí,Sí,Se me ha gastado o roto,"En el día a día, compro sin necesitar una razón concreta | En las rebajas o una promoción concreta",33,l,no uso,"Nunca, siempre encuentro",,,Calidad del tejido y acabados | Relación calidad-precio | Diseño y estética,Poca confianza en la durabilidad,,Marcas de moda generalista,Grandes almacenes (El Corte Inglés),"Sí, ocasionalmente","Marketplace (Amazon, Zalando, Asos…)","Marketplace (Amazon, Zalando, Asos…)",Probadores cómodos y privados | Devolución fácil y gratuita,la relacion calidad precio,la relacion calidad precio,Guía de tallas fiable y específica por modelo | Devolución gratuita garantizada | Web fácil de navegar y filtrar por talla,calvin klein,dim,Intimissimi,,Calvin Klein,4,3,3,4,4,4,4,3,3,3,3,4,3,1.Marquesina | 2.Televisión | 3.Revistas de moda | 4.Escaparate de tienda,no,,no me gusta,adidas,nike,otras_marcas,adidas,adidas por costumbre,Calidad del tejido | Durabilidad | Buena relación calidad-precio | Cómoda,1.Marquesina | 2.Televisión | 3.Publicidad exterior,no,,#4882ff | #44ff72 | #ff2952,Combo1:#388E3C+#AB47BC+#006994 | Combo2:#388E3C+#E65100+#DCEDC8 | Combo3:#FF1493+#E57373+#EF5350,lingerie:lt1_b,es la mas esbelta,les sobra peso,#e63dff | #ff5649 | #98ff5e,Combo1:#BA68C8+#004D40+#F3E5F5 | Combo2:#388E3C+#F1F8E9+#DCEDC8 | Combo3:#E91E8C+#FFD1DC+#FF69B4,swim:st3_a,es la mas atletica,peor proporcion,swim:triada3 | lingerie:triada1,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""a""}"
3e576805-12dd-4d9e-8911-0c8e13c085d1,lingerie-swim,6a29189e-203e-4ec9-a797-dc64a5608ded,2026-06-10T07:56:21.252337+00:00,2026-06-10T08:08:25.919+00:00,complete,OK,12.1,37500,28,Menos de 20.000 €,"Vivo sin pareja, sin hijos",4,4,4,3,2,4,2,4,4,4,4,4,Hace 2 meses,Hace una semana,Cada 2 – 3 meses,"Este mes, hace dos semanas",30,20,Victoria secret,Menos de 200 €,Montana,Colores vividos,Sin estampado,Con diseno,Producto duradero,2,1,No,Sí,Me apetece darme un capricho | Quiero probar algo diferente o renovar mi estilo,En las rebajas o una promoción concreta,M,M,90B,"A veces, depende de la marca",Copa pequeña para mi contorno,,Comodidad y fit perfecto | Calidad del tejido y acabados | Relación calidad-precio | Sentirse atractiva,Dificultad para encontrar talla | Precio percibido elevado | Tirantes o aros que clavan o molestan | Poca confianza en la durabilidad,,Tienda monomarca de lencería o baño,Grandes almacenes (El Corte Inglés),"Sí, ocasionalmente","Marketplace (Amazon, Zalando, Asos…)","Marketplace (Amazon, Zalando, Asos…)",Poder medirme y que me asesoren | Guía de tallas fiable online | Devolución fácil y gratuita | Probadores cómodos y privados | Variedad de tallas incluyendo las mías,Que hayan tallas suficientes y sea cómodo,Calidad precio y buen tallaje,Web fácil de navegar y filtrar por talla | Guía de tallas fiable y específica por modelo | Opción de recoger en tienda | Devolución gratuita garantizada,Victoria secret,Intimissimi,Women Secret | Intimissimi | Calvin Klein,,"Woman secret, porque tienen una variedad bastante diferenciada al resto",4,4,4,4,3,4,4,4,4,4,4,4,4,1.Instagram | 2.TikTok | 3.YouTube | 4.Escaparate de tienda | 5.Revistas de moda | 6.Ecommerce propio de la marca | 7.Publicidad exterior | 8.Televisión | 9.Cartelera | 10.Valla publicitaria,no,,No sé quien es pilar rubio,No tengo marca concreta,Roca,Calzedonia | H&M | Zara,,Zara,Calidad del tejido | Ajuste y fit del bañador | Durabilidad | Comodidad | Variedad de tallas | No transparenta al mojarse | Buena relación calidad-precio | Sujeción | Elegante | Cómoda | Moderna,1.Instagram | 2.TikTok | 3.YouTube | 4.Escaparate de tienda | 5.Revistas de moda | 6.Ecommerce propio de la marca | 7.Publicidad exterior | 8.Televisión | 9.Valla publicitaria,no,,#4c00ff | #ff0059 | #0059ff,Combo1:#000000+#9E9E9E+#1A0030 | Combo2:#B0C4DE+#006994+#1B3A5C | Combo3:#F5ECD7+#E57373+#4A0E2C,lingerie:lt3_s,El color de las prendas y que se ve comoleto,Porque una no muestra todo y la otra cambia de modelo,#8354ff | #534dff | #1b1bff,Combo1:#212121+#E8D5F0+#C8A2C8 | Combo2:#004D40+#2B7BB9+#1B3A5C | Combo3:#004D40+#9CAF88+#F1F8E9,swim:st2_a,Por el estampado,No tiene el mismo estilo y diseño,swim:triada2 | lingerie:triada3,"{""d1"": ""b"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""a"", ""d5"": ""a""}"
c8ca1bce-b29b-4d1d-87d5-bc3bc93b9a26,lingerie-swim,6a2be893-1615-a80e-ec74-110fdf5c6f14,2026-06-12T11:08:12.594928+00:00,2026-06-12T12:02:07.327+00:00,complete,REVIEW,53.9,38001,63,Menos de 20.000 €,"Vivo con pareja, con hijos en el hogar",3,5,5,2,5,1,3,1,3,2,4,3,Hace 1año,Hace 3 años,Solo cuando lo necesito o se rompe,Hace 2 años,30,50,No recuerdo,Menos de 200 €,Montana,Colores vividos,Con estampado,Con diseno,Producto duradero,1,1,No,Sí,La vi y me encantó,En las rebajas o una promoción concreta,42,42,42,"A veces, depende de la marca",,,Comodidad y fit perfecto | Calidad del tejido y acabados | Relación calidad-precio | Durabilidad tras lavados,Precio percibido elevado | Poca confianza en la durabilidad | Miedo a comprar online sin probar,,Grandes almacenes (El Corte Inglés) | Outlet físico,Corsetería o mercería tradicional | Outlet físico,"No, nunca compro lencería/baño online",,,Variedad de tallas incluyendo las mías | Devolución fácil y gratuita | Poder medirme y que me asesoren,Comodidad y seguridad,Comodidad y seguridad,,No recuerdo,Marca d l Corte inglés,Janira | Triumph | Playtex,,Yanira por su comodidad,5,5,5,5,5,5,4,1,2,1,1,4,3,1.Televisión,no,,No la conozco,Yanira,Zara,Zara,,Yanira por su comodidad,Durabilidad | Comodidad | Variedad de tallas | Elegante | Buena relación calidad-precio | Cómoda,1.Televisión,no,,#86bcff | #ff5c89 | #bdff49,Combo1:#FFCDD2+#FF8FAB+#4A148C | Combo2:#F3E5F5+#E8D5F0+#006994 | Combo3:#9CAF88+#C5E1A5+#40B0A0,lingerie:lt3_s,No se,No se,#7bfff7 | #ff9f44 | #ff4567,Combo1:#FFD1DC+#E57373+#F3E5F5 | Combo2:#6A1B9A+#87CEEB+#B0C4DE | Combo3:#1565C0+#42A5F5+#42A5F5,swim:st2_b,Parece cómodo,No se,swim:triada2 | lingerie:triada3,"{""d1"": ""b"", ""d2"": ""b"", ""d3"": ""a"", ""d4"": ""a"", ""d5"": ""a""}"
457b0a6d-f90d-4941-9357-781519f0c9be,lingerie-swim,6a2bf79c-792f-8a18-9cf2-5df5436cd777,2026-06-12T12:12:27.737162+00:00,2026-06-12T12:21:22.607+00:00,complete,OK,8.9,28803,19,20.000 – 35.000 € (medio-bajo),"Vivo con pareja, con hijos en el hogar",1,4,3,5,3,3,5,5,5,5,2,3,hace menos de 3 meses,hace dos semanas,Cada semana,el martes,30/50€,20,lacoste,Menos de 200 €,Playa,Colores neutros,Sin estampado,Basico,Estar a la moda,5,4,Sí,Sí,Me apetece darme un capricho | La vi y me encantó | Quiero probar algo diferente o renovar mi estilo,"En el día a día, compro sin necesitar una razón concreta",38,34,95,"A veces, depende de la marca",Copa grande para mi contorno,,Relación calidad-precio,Precio percibido elevado,,Tienda monomarca de lencería o baño | Grandes almacenes (El Corte Inglés) | Marcas de moda generalista,Marcas de moda generalista,"Sí, habitualmente","Marketplace (Amazon, Zalando, Asos…) | Social commerce (Instagram Shop, TikTok Shop)","Marketplace (Amazon, Zalando, Asos…)",Probadores cómodos y privados | Devolución fácil y gratuita,comentarios,comentarios y fotos,Fotos de alta calidad con diferentes cuerpos | Opción de recoger en tienda,victorias secret,intimisismi,Intimissimi | Women Secret | Calvin Klein | Selene,,selene,5,5,5,5,4,5,5,3,5,5,5,5,5,1.Instagram | 2.TikTok | 3.Escaparate de tienda,no,,guapa y moderna,isntinisismi,no se,Calzedonia | H&M | Zara,,camzedonia,Durabilidad | Comodidad,1.YouTube | 2.TikTok | 3.Instagram,no,,#96a8ff | #fffef8 | #ff45bb,Combo1:#FFFFFF+#000000+#FF69B4 | Combo2:#F3E5F5+#E8D5F0+#BA68C8 | Combo3:#E3F2FD+#E3F2FD+#42A5F5,lingerie:lt2_s,parece cómoda y sexy,no me gusta la braga alta,#ff1406 | #b2c2ff | #fcb8ff,Combo1:#FFFFFF+#F5F5F5+#000000 | Combo2:#4A148C+#CE93D8+#F3E5F5 | Combo3:#E3F2FD+#87CEEB+#42A5F5,swim:st3_s,me gustan los bikinis,son demasiado tapados,swim:triada3 | lingerie:triada2,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
3d59c478-e5f1-44eb-a76b-89c9c93761ff,lingerie-swim,6a29156b-d670-7688-1e28-5a88d2c21ee9,2026-06-10T07:42:42.791093+00:00,2026-06-10T07:58:55.866+00:00,complete,OK,16.2,41011,64,35.000 – 55.000 € (medio),"Vivo sin pareja, con hijos fuera del hogar",4,4,3,4,3,3,4,4,3,3,4,3,un año,un año,Cada 6 meses,4 meses,40,25,cortefiel,Menos de 200 €,Playa,Colores vividos,Sin estampado,Basico,Estar a la moda,2,2,No,No,La vi y me encantó,En las rebajas o una promoción concreta,42,40,100,"A veces, depende de la marca",Contorno entre dos tallas,,Tallaje amplio,Proceso de devolución complicado,,Grandes almacenes (El Corte Inglés),Grandes almacenes (El Corte Inglés),"No, nunca compro lencería/baño online",,,Precio competitivo | Probadores cómodos y privados,bien,bien,,princesa,woman,Triumph | Women Secret,,ninguna,4,3,3,3,4,3,4,3,3,3,3,4,3,1.YouTube,no,,ninguna,adidas,nike,Calzedonia,,adidas,Comodidad | Variedad de tallas,1.Televisión,no,,#ff720b | #7fff5b | #82ff5d,Combo1:#1A0030+#000000+#4A148C | Combo2:#4A148C+#EF9A9A+#FF8C42 | Combo3:#C8A2C8+#1A0030+#BA68C8 | Combo4:#4A148C+#1A0030+#1A0030 | Combo5:#CE93D8+#BA68C8+#1A0030 | Combo6:#C8A2C8+#1565C0+#4A148C | Combo7:#1A0030+#4A148C+#CE93D8 | Combo8:#2E7D32+#F9A825+#1A0030,lingerie:lt1_b,mas estilista,es lo que creo,#c3ecff | #c5ecff | #ff8be1,Combo1:#4A148C+#C8A2C8+#1A0030 | Combo2:#4A148C+#8BC34A+#87CEEB | Combo3:#4A148C+#C8A2C8+#1A0030,swim:st3_s,mas bonito,es lo que creo,swim:triada3 | lingerie:triada1,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
