ID_respuesta,Encuesta,ID_respondente,Fecha_inicio,Fecha_fin,Estado,QC_veredicto,Duracion_min,Codigo_postal,Edad,Renta_anual_hogar,Situacion_familiar,LS_cuesta_cambiar_marca,LS_mismo_supermercado,LS_planes_tranquilos,LS_marcas_por_percepcion,LS_restaurante_reputacion,LS_cultura_viajes,LS_sin_estilo,LS_restaurantes_nuevos,LS_se_adapta,LS_origen_impacto,LS_actividades_aporte,LS_experiencia_vs_anillo,Ultima_compra_ropa_deportiva,Ultima_compra_homewear,Frecuencia_compra_ropa,Ultima_compra_moda,Gasto_ropa_deportiva_por_compra,Gasto_homewear_por_compra,Marca_mas_cara_ultimo_ano,Gasto_mensual_ropa,Dic_Gimnasio_vs_Aire_libre,Dic_Colores_neutros_vs_vividos,Dic_Ajustado_vs_Suelto,Dic_Con_diseno_vs_Basico,Dic_Teletrabajo_vs_Oficina,Veces_deporte_semana,Deporte_que_realiza,Frecuencia_lugar_compra_deportiva,Compra_ropa_deportiva_cada_temporada,Prendas_deportivas_armario,Duracion_buscada,Ropa_exclusiva_para_casa,Tipo_prendas_para_casa,Molesta_cambiarse_recados,Motivos_compra_ropa,Momentos_compra_ropa,Talla_pantalon,Talla_camiseta,Talla_sujetador,Dificultad_encontrar_talla,Motivo_dificultad_talla,Talla_otro_especificar,Factores_valorados_compra,Factores_frenan_compra,Barrera_compra_otra_especificar,Canal_fisico_deportiva,Canal_fisico_homewear,Compra_deporte_homewear_online,Canal_online_deportiva,Canal_online_homewear,Experiencia_compra_deportiva,Experiencia_compra_homewear,Experiencia_digital_deporte_homewear,Top_of_mind_deporte,Otras_marcas_deporte,Marcas_donde_compra_deporte,Marcas_deporte_otras_especificar,Marca_favorita_deporte_motivo,Func_sport_Sujecion,Func_sport_Transpirabilidad,Func_sport_Compresion,Func_sport_Calidad_precio,Func_sport_Secado_rapido,Func_sport_Variedad_tallas,Func_sport_Libertad_movimiento,Func_sport_Suavidad_tejido,Func_sport_Comodidad,Func_sport_Resistencia_durabilidad,Func_sport_Bolsillos_practicos,Func_sport_Versatilidad,Emoc_sport_Estetica,Emoc_sport_Moderna,Emoc_sport_Refleja_personalidad,Emoc_sport_Destaca,Emoc_sport_Identificacion_marca,Emoc_sport_Diseno,Emoc_sport_Marca_especialista,Visibilidad_deporte_canales,Influencer_deporte_sino,Influencer_deporte_nombre,Opinion_Pilar_Rubio,Top_of_mind_homewear,Otras_marcas_homewear,Marcas_donde_compra_homewear,Marcas_homewear_otras_especificar,Marca_favorita_homewear_motivo,Atributos_valorados_homewear,Visibilidad_homewear_canales,Influencer_homewear_sino,Influencer_homewear_nombre,Colores_favoritos_deporte,Combinaciones_colores_deporte,Producto_deporte_elegido,Por_que_gusta_mas_deporte,Por_que_otros_gustan_menos_deporte,Colores_favoritos_homewear,Combinaciones_colores_homewear,Producto_homewear_elegido,Por_que_gusta_mas_homewear,Por_que_otros_gustan_menos_homewear,Triada_producto_mostrada,q25
67148aa8-f0f7-4515-ad12-893194e0791f,sport-loungewear,6a2beace-77a1-e7e8-6107-c92c8c1ece8e,2026-06-12T11:17:44.149067+00:00,2026-06-12T11:54:11.43+00:00,complete,OK,36.5,41009,57,20.000 – 35.000 € (medio-bajo),"Vivo con pareja, con hijos en el hogar",2,2,5,1,3,1,4,5,5,3,2,3,Haber 3 meses,8 meses,Cada 2 – 3 meses,Hace 3 meses,100,100,Tomy,Menos de 200 €,Gimnasio,Colores vividos,Suelto,Basico,Teletrabajo en casa,3,Pilate,3 meses declathon,No,Varias,Hasta que venga otra que me guste más,No,,No,Me apetece un capricho | La vi y me encantó,"En el día a día, compro sin necesitar una razón concreta",L,L,40,"A veces, depende de la marca",Copa grande para mi contorno,,Comodidad y fit perfecto | Relación calidad-precio,Dificultad para encontrar talla,,"Tienda monomarca de ropa deportiva/homewear (Nike, Lululemon, Decathlon…)","Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…)","Sí, ocasionalmente",App móvil de la marca,App móvil de la marca,Consugio lo que quiero,Comodidad,Guía de tallas fiable y específica por modelo | Devolución gratuita garantizada,Puma,Adidas,Nike | Adidas | Puma | Alo,,Puma,3,4,3,5,5,5,5,5,5,3,5,5,5,5,3,3,3,5,2,1.Escaparate de tienda | 2.Instagram,no,,No la conozco,Primak,Victoria secret,El Corte Inglés | Women Secret,,Pijamas comodidad,Suavidad del tejido | Tallas inclusivas | Facilidad de movimiento | No transparenta | Cómoda | Cálida | Bonita | Familiar | Moderna,1.Escaparate de tienda | 2.Instagram,no,,#6ea3ff | #5cfeff | #c7b2ff,Combo1:#424242+#757575+#87CEEB | Combo2:#1565C0+#87CEEB+#B0C4DE | Combo3:#C8A2C8+#E8D5F0+#F3E5F5,sport:spt3_b,El estilo va conmigo,No cuadran con mi cuerpo,#a2e2ff | #dddbff | #cdffe4,Combo1:#424242+#FFFFFF+#E3F2FD | Combo2:#1B3A5C+#B0C4DE+#E3F2FD | Combo3:#6A1B9A+#8E24AA+#AB47BC,lounge:lw2_s,Va con mi estilo,No me gustan,sport:triada3 | lounge:triada2,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""a""}"
96475397-ee46-4784-99e6-43e1958a6b52,sport-loungewear,6a2be99f-bc5f-4601-e30f-918d9e14db63,2026-06-12T11:12:38.545997+00:00,2026-06-12T11:33:23.565+00:00,complete,REVIEW,20.8,28904,62,Menos de 20.000 €,"Vivo con pareja, sin hijos",1,1,1,1,1,1,1,1,1,1,1,1,Ase unos 6 meses,Ase un año,Cada 6 meses,Ase 6 meses,80,30 a.80,Pepe yin,Menos de 200 €,Deporte al aire libre,Colores vividos,Ajustado,Basico,Teletrabajo en casa,3 a 4 veses,Correr en pistas,Una ves al.año,No,Entre 3 a 6 prendas,"Sí, 1 año",No,,No,Se me ha gastado o roto,"Una fecha o evento social próximo (boda, cena, reunión, etc.)",Talla.s,Talla 40,No tengo,"Nunca, siempre encuentro",,,Calidad del tejido y acabados | Durabilidad tras lavados,Precio percibido elevado,,"Tienda monomarca de ropa deportiva/homewear (Nike, Lululemon, Decathlon…)","Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…)","Lo he intentado, pero prefiero tienda física",,,Que sea buena y ligera,En realidad buena y barata,,Nike,Reboo,Nike | Adidas | Puma,,Puma porque tiene ofertas siempre y es mad varata,3,3,4,4,4,3,4,3,3,4,3,5,5,5,5,4,3,5,4,1.YouTube | 2.Revistas de moda | 3.Publicidad exterior | 4.Televisión,no,,No tengo opinión,Nike,Puma,El Corte Inglés,,Nike,Durabilidad tras lavados | No encoge | Cómoda,1.Publicidad exterior,no,,#ff3653 | #ff287f | #ff722e,Combo1:#E8C4A0+#F5ECD7+#004D40 | Combo2:#8E24AA+#AB47BC+#64B5F6 | Combo3:#4CAF50+#FFD700+#1A0030,sport:spt3_s,Por ligera,So más calurosa,#f6ff8a | #f6ff8a | #ff4136,Combo1:#1B5E20+#BA68C8+#40B0A0 | Combo2:#FFD700+#FFE0B2+#E65100 | Combo3:#004D40+#1B3A5C+#1B3A5C,lounge:lw2_b,Elegancia,Más serias,sport:triada3 | lounge:triada2,"{""d1"": ""b"", ""d2"": ""b"", ""d3"": ""a"", ""d4"": ""b"", ""d5"": ""a""}"
446a12a8-b5fa-4412-830e-b1ddbcdfeaf2,sport-loungewear,6a291610-07f6-6245-8145-97d0066c6e37,2026-06-10T07:45:35.030858+00:00,2026-06-10T07:56:43.733+00:00,complete,OK,11.1,39300,58,55.000 – 75.000 € (medio-alto),"Vivo con pareja, sin hijos",4,5,3,3,2,5,1,3,4,4,5,5,15 dias,dos meses,Cada 2 – 3 meses,un mes,depende de lo que compre pero entre 100 y trescientos,100,burberrys,Menos de 200 €,Gimnasio,Colores vividos,Suelto,Con diseno,Ir a la oficina,2,natacion y goimnasio,"cuando se estropea la que tengo, el corte inglés decathlon",No,5,"Sí, 2 años",No,,Sí,Se me ha gastado o roto | Quiero probar algo diferente o renovar mi estilo,"En las rebajas o una promoción concreta | En el día a día, compro sin necesitar una razón concreta",46,xl,no uso,"Nunca, siempre encuentro",,,Calidad del tejido y acabados | Comodidad y fit perfecto | Relación calidad-precio,Falta de asesoramiento | Precio percibido elevado,,Grandes almacenes (El Corte Inglés),"Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…) | Grandes almacenes (El Corte Inglés)","No, nunca compro ropa deportiva/homewear online",,,disponibilidad de estilos,precio y el estilo,,nike,asics,Nike | otras_marcas,asics,asics,2,5,5,5,3,4,5,4,5,5,4,3,4,4,1,1,1,5,4,1.Ecommerce propio de la marca,no,,no la conozco,primark,unit,El Corte Inglés,,ninguna,Suavidad del tejido | Cómoda | Cálida,1.Escaparate de tienda,no,,#333bff | #ff9910 | #37ffd5,Combo1:#1B5E20+#1B5E20+#5D1049 | Combo2:#B71C1C+#5D1049+#5D1049 | Combo3:#1B3A5C+#E65100+#E65100,sport:spt2_a,me l¡siento idntificado,nada en alrticular,#4affb3 | #54c4ff | #3a2cff,Combo1:#004D40+#2E7D32+#E57373 | Combo2:#87CEEB+#388E3C+#FFD700 | Combo3:#4A0E2C+#FF8C42+#FF8C42,lounge:lw2_s,me parece el mas comodo,nada en especial,sport:triada2 | lounge:triada2,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""a"", ""d5"": ""b""}"
ec66d594-e4c7-4d45-a841-17a315946334,sport-loungewear,6a291fbb-6368-ec97-9cd8-1d4b82cc42f6,2026-06-10T08:26:42.217529+00:00,2026-06-10T08:51:09.943+00:00,complete,OK,24.5,50017,40,Menos de 20.000 €,"Vivo con pareja, con hijos en el hogar",1,1,5,3,5,2,5,5,5,5,4,5,Hace 3 semanas,Satisfactoria,Una vez al mes,Hace 2 semanas,100 euros60,60 euros,Nike,200 – 500 €,Deporte al aire libre,Colores vividos,Suelto,Basico,Ir a la oficina,3 veces,Running,Cada temporada,Sí,5,,Sí,Chandal pantalones cortos,No,La vi y me encantó,Ver algo en redes o en tienda que me llama la atención,M,Xl,No tengo soy hombre,"A veces, depende de la marca",Espalda ancha u hombros anchos,,Comodidad y fit perfecto | Calidad del tejido y acabados | Relación calidad-precio,Dificultad para encontrar talla | Precio percibido elevado,,"Grandes almacenes (El Corte Inglés) | Tienda monomarca de ropa deportiva/homewear (Nike, Lululemon, Decathlon…)","Grandes almacenes (El Corte Inglés) | Tienda monomarca especializada en ropa deportiva o homewear (Lululemon, Decathlon…)","Sí, ocasionalmente","App móvil de la marca | Social commerce (Instagram Shop, TikTok Shop)","Social commerce (Instagram Shop, TikTok Shop) | App móvil de la marca",La seguridad,La responsabilidad,Web fácil de navegar y filtrar por talla | Fotos de alta calidad con diferentes cuerpos,Nike,Adidas puma new balance,Nike | Adidas,,Nike diseño y comodidad,5,5,3,5,5,5,5,5,5,5,4,4,4,4,5,3,5,5,5,1.Instagram | 2.Televisión | 3.TikTok,si,El rubius,Muy guapa,Nike,Adidas,Zara,,Zara muy buena calidad,Suavidad del tejido | Cálida | Cómoda,1.Instagram | 2.TikTok,si,Esther exposito,#d148ff | #ce46ff | #99ff63,Combo1:#FF1493+#87CEEB+#8E24AA | Combo2:#42A5F5+#64B5F6+#8E24AA | Combo3:#9E9E9E+#FFFFFF+#000000,sport:spt2_s,Su posado,Por delgadez,#d34fff | #d14fff | #68b5ff,Combo1:#9E9E9E+#BDBDBD+#42A5F5 | Combo2:#42A5F5+#64B5F6+#4A148C | Combo3:#BA68C8+#6A1B9A+#8E24AA,lounge:lw2_b,Sensualidad,No atractivas,sport:triada2 | lounge:triada2,"{""d1"": ""b"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
d4951d20-015e-42da-bc90-cf6a7e69e61c,sport-loungewear,6a29201d-89ec-9370-f06f-81a4460c9631,2026-06-10T08:28:20.363151+00:00,2026-06-10T08:37:49.464+00:00,complete,OK,9.5,41960,28,35.000 – 55.000 € (medio),"Vivo con pareja, sin hijos",5,4,4,4,3,4,4,3,4,4,5,5,3 meses,Este año,Una vez al mes,Zara,100,50 euros,Nik,Menos de 200 €,Gimnasio,Colores vividos,Ajustado,Con diseno,Teletrabajo en casa,5 veces,Gimnasio,Temporada,Sí,15,,No,,No,Quiero probar algo diferente o renovar mi estilo,"Una fecha o evento social próximo (boda, cena, reunión, etc.) | Un viaje o escapada planificada",38,M,90B,"Nunca, siempre encuentro",,,Comodidad y fit perfecto | Calidad del tejido y acabados | Relación calidad-precio,Probador incómodo | Poca confianza en la durabilidad,,"Tienda monomarca de ropa deportiva/homewear (Nike, Lululemon, Decathlon…)","Tienda monomarca especializada en ropa deportiva o homewear (Lululemon, Decathlon…)","Sí, ocasionalmente",Ecommerce propio de la marca,Ecommerce propio de la marca,La fácil experiencia,La fácil experiencia,Fotos de alta calidad con diferentes cuerpos | Web fácil de navegar y filtrar por talla,Nike,Adidas,Nike | Adidas | Puma | Oysho,,Nike,5,4,4,5,3,1,5,4,5,4,2,2,5,4,4,3,4,2,1,1.Instagram | 2.Escaparate de tienda | 3.TikTok | 4.Email marketing o newsletter,no,,Me da igual,No sé,No sé,Zara | Women Secret | H&M,,Zara,Suavidad del tejido | Facilidad de movimiento | Bonita,1.Instagram | 2.Escaparate de tienda | 3.TikTok | 4.Ecommerce propio de la marca,no,,#494fff | #ffd1ff | #ffa096,Combo1:#E8C4A0+#E8C4A0+#757575 | Combo2:#E8D5F0+#C8A2C8+#6A1B9A | Combo3:#87CEEB+#B0C4DE+#E3F2FD,sport:spt1_a,Estilo,También me gustaban,#c2a3ff | #b780ff | #9157ff,Combo1:#F5ECD7+#EDE0CF+#5C3A1E | Combo2:#E8D5F0+#C8A2C8+#6A1B9A | Combo3:#B0C4DE+#87CEEB+#64B5F6,lounge:lw1_a,Cómodo,Menos cómodo,sport:triada1 | lounge:triada1,"{""d1"": ""a"", ""d2"": ""b"", ""d3"": ""a"", ""d4"": ""a"", ""d5"": ""a""}"
f2fb96b8-1029-4927-a83c-4400ac645731,sport-loungewear,6a291fe6-42a2-40e7-bedc-6a0ae5d2464e,2026-06-10T08:27:27.402263+00:00,2026-06-10T08:41:21.312+00:00,complete,OK,13.9,36914,28,Menos de 20.000 €,"Vivo sin pareja, sin hijos",5,2,5,5,3,5,5,5,3,4,4,4,Hace tiempo,Hace años,Cada 2 – 3 meses,No sé,50-80€,30-70€,Adidas,Menos de 200 €,Deporte al aire libre,Colores vividos,Suelto,Basico,Teletrabajo en casa,2-3,2-3,2-5,Sí,2-4,,Sí,Da igual una cualquiera,Sí,Se me ha gastado o roto | Quiero probar algo diferente o renovar mi estilo,"Una fecha o evento social próximo (boda, cena, reunión, etc.)",44-46,L-XL,90B,"A veces, depende de la marca",Copa pequeña para mi contorno,,Tallaje amplio,Tirantes o aros que clavan o molestan,,Grandes almacenes (El Corte Inglés),"Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…) | Tienda monomarca especializada en ropa deportiva o homewear (Lululemon, Decathlon…)","Sí, ocasionalmente",Ecommerce propio de la marca,Marketplace especializado,Diseño y comodidad,Precio y calidad,Fotos de alta calidad con diferentes cuerpos,Shein,Adidas,Adidas | Puma | H&M | Calvin Klein | Nike | Oysho,,Adidas de toda la vida por su sencillez y estiló clásico y moderno de toda la vida,4,4,5,5,3,5,2,3,3,5,4,5,5,5,4,5,4,5,5,1.YouTube,si,,No tengo opinión,No opino,No sé,El Corte Inglés,,No sé,Moderna | Clásica accesible,1.YouTube,si,Christian,#7c75ff | #ff4230 | #ff24d3,Combo1:#757575+#000000+#8E24AA | Combo2:#E8D5F0+#006994+#C5E1A5 | Combo3:#C8A2C8+#E8D5F0+#004D40,sport:spt1_b,Su sencillez,Por su forma de vestir,#534eff | #ff52b2 | #66ff52,Combo1:#757575+#000000+#3E2009 | Combo2:#E8D5F0+#C8A2C8+#006994 | Combo3:#8BC34A+#C5E1A5+#87CEEB,lounge:lw3_s,Su comodidad,Su forma de vestir,sport:triada1 | lounge:triada3,"{""d1"": ""b"", ""d2"": ""b"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""a""}"
63551c2e-a78b-4df7-a01b-38e85579eef2,sport-loungewear,6a2bea23-1ae0-65b2-9b42-0bf5bd39dab2,2026-06-12T11:14:51.297469+00:00,2026-06-12T11:26:38.313+00:00,complete,OK,11.8,41702,57,Menos de 20.000 €,"Vivo con pareja, sin hijos",4,3,5,2,1,2,1,3,3,1,4,1,Hace un mes,Hace un mes,Cada 6 meses,Unos zapatos deportivos,50,60,Sketchers,Menos de 200 €,Gimnasio,Colores neutros,Suelto,Basico,Ir a la oficina,3,Levantamiento de pesas,"Cada seis o siete meses,online sobre todo",No,5,"Sí, 2 años",No,,Sí,Se me ha gastado o roto,En las rebajas o una promoción concreta,43,Xl,No uso sujetafor,"Nunca, siempre encuentro",,,Comodidad y fit perfecto | Sentirse atractiva | Relación calidad-precio,Precio percibido elevado | Poca confianza en la durabilidad,,Grandes almacenes (El Corte Inglés),Grandes almacenes (El Corte Inglés),"Sí, ocasionalmente",Marketplace generalista,Marketplace generalista,Relación calidad precio facilidad de busqueda,Facilidad de busqueda,Devolución gratuita garantizada | Web fácil de navegar y filtrar por talla,Umbro,Joma Nike converse Adidas puma,Nike | Adidas | Puma,,Joma es muy cómoda y tiene una gran relación calidad precio,4,3,4,5,2,4,5,4,5,5,2,4,4,5,2,3,4,5,3,1.Escaparate de tienda | 2.Publicidad exterior | 3.Televisión | 4.Valla publicitaria,no,,No tengo opinión de esta señora,Nike,Lee,Triumph | Zara | Calvin Klein | Women Secret | H&M | El Corte Inglés,,Boss,Suavidad del tejido | Facilidad de movimiento | Cómoda | Cálida | Bonita | Moderna,1.Valla publicitaria | 2.Publicidad exterior | 3.Escaparate de tienda,no,,#874eff | #fdff56 | #ff2d46,Combo1:#E91E8C+#FFD700+#E8D5F0 | Combo2:#FFD700+#40B0A0+#4A148C | Combo3:#1565C0+#6A1B9A+#006994,sport:spt2_s,Ese azul celeste es el color que más me gusta,Por nada especial,#ffe450 | #ff2d69 | #67a0ff,Combo1:#6A1B9A+#1B5E20+#FFDB58 | Combo2:#1565C0+#E3F2FD+#4CAF50 | Combo3:#FFDB58+#E65100+#40B0A0,lounge:lw2_b,Lo veo más comodo,Por nada especial,sport:triada2 | lounge:triada2,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
48cf9c0e-1daf-448f-8abe-0e7a46d32020,sport-loungewear,6a2915eb-516e-7187-42b9-d13a2f7adc1b,2026-06-10T07:44:55.028794+00:00,2026-06-10T08:02:49.853+00:00,complete,OK,17.9,33560,64,20.000 – 35.000 € (medio-bajo),"Vivo con pareja, con hijos en el hogar",4,4,5,3,4,4,4,4,4,4,5,2,Hace un año,Nunca,Solo cuando lo necesito o se rompe,Hace un año,180,0,Adidas,Menos de 200 €,Deporte al aire libre,Colores neutros,Suelto,Con diseno,Teletrabajo en casa,2,Senderismo,Al año en Amazon,No,2,"Sí, +3 años",No,,No,Me apetece un capricho,Ver algo en redes o en tienda que me llama la atención,46,L,No,"Nunca, siempre encuentro",,,Comodidad y fit perfecto | Exclusivo y diferente,Poca confianza en la durabilidad,,"Moda generalista con sección sport (Oysho, H&M Sport, Zara Sport)","Tienda monomarca especializada en ropa deportiva o homewear (Lululemon, Decathlon…)","Lo he intentado, pero prefiero tienda física",,,Las marcas y el diseño,La marca,,Adidas,Nike,Nike | Adidas,,Adidas por su estilo particular,3,5,3,5,4,5,5,5,5,5,4,5,5,5,4,4,4,5,5,1.TikTok | 2.Instagram,no,,Es valiente y decidida,Nike,Adidas,otras_marcas,Amazon,Ninguna en particular,Suavidad del tejido | Facilidad de movimiento,1.Instagram | 2.TikTok,no,,#ff8c2e | #ff8c2e | #ff8535,Combo1:#CC2244+#CC2244+#CC2244 | Combo2:#1565C0+#1565C0+#1565C0 | Combo3:#1565C0+#CC2244+#CC2244,sport:spt3_a,Es más elegante,También me gustan,#ff4313 | #ff4313 | #ff4313,Combo1:#B71C1C+#B71C1C+#B71C1C | Combo2:#B71C1C+#B71C1C+#1565C0 | Combo3:#1565C0+#1565C0+#1565C0,lounge:lw3_a,Elegancia,Sencilla,sport:triada3 | lounge:triada3,"{""d1"": ""b"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""a"", ""d5"": ""a""}"
3d5bc176-0c18-4700-a787-af8d604c8c51,sport-loungewear,6a2bec13-e37d-ae83-b025-c50a41a80215,2026-06-12T11:23:06.578299+00:00,2026-06-12T11:39:09.251+00:00,complete,OK,16.0,36209,57,20.000 – 35.000 € (medio-bajo),"Vivo sin pareja, sin hijos",3,5,5,1,3,1,4,5,5,2,5,5,Hace más de 3 años,Hace dos semanas,Solo cuando lo necesito o se rompe,Hace 3 meses,30,20,La Sal,Menos de 200 €,Gimnasio,Colores neutros,Suelto,Con diseno,Ir a la oficina,Ninguna,Ninguno,Cuando la necesitaba en Sprinter,No,No lo recuerdo,"Sí, +3 años",Sí,Estilo pijama,No,Mi cuerpo o mi vida ha cambiado y necesito ropa acorde,En las rebajas o una promoción concreta,40,L,100C,"A veces, depende de la marca",Espalda ancha u hombros anchos | Contorno entre dos tallas,,Comodidad y fit perfecto | Calidad del tejido y acabados | Relación calidad-precio | Diseño y estética | Exclusivo y diferente | Durabilidad tras lavados,Precio percibido elevado | Miedo a comprar online sin probar | Proceso de devolución complicado | Dificultad para encontrar talla,,"Moda generalista con sección sport (Oysho, H&M Sport, Zara Sport)","Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…)","No, nunca compro ropa deportiva/homewear online",,,Solo compro en tiendas físicas necesito probarme la ropa,Que lo tengo cerca de casa y se puede devolver sin problema,,Sprinter,Decathlon,Puma | H&M,,Puma porque tiene unos tenis que se me adaptan al pie perfectamente,5,5,1,5,3,4,4,5,5,5,3,4,4,3,5,1,2,5,5,1.Escaparate de tienda,no,,No tengo una opinión definida,Oysho,Tezenis,otras_marcas,Tezenis,Oysho tiene unos diseños que me encantan pero son caros,Suavidad del tejido | Durabilidad tras lavados | Facilidad de movimiento | No encoge | Cómoda | Cálida | Bonita,1.Escaparate de tienda,no,,#6a36ff | #5ba7ff | #3d60ff,Combo1:#1A0030+#000000+#1A0030 | Combo2:#FFFFFF+#FFFFFF+#FFFFFF | Combo3:#000000+#000000+#000000,sport:spt1_s,Porque se adapta perfectamente al cuerpo,Pantalones demasiado flojos que se pueden enganchar en las máquinas,#ffcd2e | #f9ff37 | #bdff39,Combo1:#FFF8F0+#F5ECD7+#FFFFFF | Combo2:#E3F2FD+#B0C4DE+#87CEEB | Combo3:#FFE4EE+#FFD1DC+#FFB3C6,lounge:lw3_b,Por los colores que son claros,Los colores son demasiado fuertes y oscuros,sport:triada1 | lounge:triada3,"{""d1"": ""a"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""a"", ""d5"": ""b""}"
176db804-6467-4f25-9b93-d06ee7e86281,sport-loungewear,6a291956-ce78-bf99-4ba2-f1ad83b3f24d,2026-06-10T07:59:27.072466+00:00,2026-06-10T08:10:31.869+00:00,complete,REVIEW,11.1,29006,24,20.000 – 35.000 € (medio-bajo),"Vivo sin pareja, sin hijos",4,3,4,4,3,3,3,3,3,3,3,4,Hace 2 meses,Hace 10 meses,Una vez al mes,1 mes,100,70,Nike,Menos de 200 €,Deporte al aire libre,Colores neutros,Suelto,Basico,Ir a la oficina,4,"Calistenia, futbol y correr","Cada mes, Nike, corte inglés",Sí,20,,No,,Sí,La vi y me encantó | Quiero probar algo diferente o renovar mi estilo,"Una fecha o evento social próximo (boda, cena, reunión, etc.) | Ver algo en redes o en tienda que me llama la atención",S,M,0,"Nunca, siempre encuentro",,,Comodidad y fit perfecto | Relación calidad-precio | Diseño y estética | Durabilidad tras lavados,Dificultad para encontrar talla | Precio percibido elevado | Miedo a comprar online sin probar,,"Tienda monomarca de ropa deportiva/homewear (Nike, Lululemon, Decathlon…) | Grandes almacenes (El Corte Inglés) | Moda generalista con sección sport (Oysho, H&M Sport, Zara Sport)","Tienda monomarca especializada en ropa deportiva o homewear (Lululemon, Decathlon…) | Grandes almacenes (El Corte Inglés) | Tienda de moda generalista con sección home/lounge (Oysho, Primark, H&M…)","Sí, ocasionalmente","Marketplace generalista | Social commerce (Instagram Shop, TikTok Shop)","Marketplace especializado | Social commerce (Instagram Shop, TikTok Shop)",Calidad,Calidad,Web fácil de navegar y filtrar por talla | Opción de recoger en tienda,Nike,Puma,Nike | Puma | Calvin Klein,,Nike siempre la llevo,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.Instagram | 2.TikTok | 3.Publicidad exterior,no,,Buena,Nike,Bear,Zara | Calvin Klein | El Corte Inglés,,Calvin Klein,No encoge | Cómoda | Cálida | Bonita | Estética,1.TikTok,no,,#92f4ff | #d6e4ff | #f7feff,Combo1:#4A0E2C+#FFFFFF+#87CEEB | Combo2:#6A1B9A+#CE93D8+#006994 | Combo3:#2E7D32+#C5E1A5+#F9A825,sport:spt3_a,Me gusta como queda,No van tanto como mi estilo,#ff525e | #ff4a77 | #ff1692,Combo1:#000000+#FFFFFF+#000000 | Combo2:#4A148C+#CE93D8+#BA68C8 | Combo3:#8E24AA+#E8D5F0+#87CEEB,lounge:lw3_s,Es elas cómodo,No van con mi estilo,sport:triada3 | lounge:triada3,"{""d1"": ""b"", ""d2"": ""a"", ""d3"": ""b"", ""d4"": ""b"", ""d5"": ""b""}"
